col,count
bound,8
instrument,8
begin,8
draw,8
faded,8
frontiers,8
pick,8
tobacco,8
advance,8
wear,8
ultimately,8
halted,8
permanent,8
wished,8
2,8
reflected,8
pass,8
gutenberg,8
flash,8
tear,8
version,8
ogilvy,8
unmistakable,8
connected,7
everyday,7
defeated,7
australia,7
wiped,7
space,7
inconceivable,7
hit,7
unusual,7
tray,7
beaten,7
vivid,7
trial,7
sea,7
dying,7
rid,7
aloud,7
fifties,7
involved,7
serious,7
sabotage,7
shout,7
packet,7
neither,7
hierarchical,7
press,7
eight,7
hot,7
material,7
fragments,7
extent,7
learned,7
description,7
shaking,7
doorway,7
sufficiently,7
turning,7
knee,7
giving,7
reach,7
socialism,7
smaller,7
area,7
nervous,7
frame,7
prole,7
twelve,7
plaster,7
aged,7
forms,7
needle,7
keeping,7
courage,7
liked,7
scrap,7
project,7
school,7
notice,7
family,7
anybody,7
routine,7
pour,7
murder,7
deeper,7
record,7
deeply,7
retained,7
rapidly,7
dim,7
games,7
somebody,7
rebellion,7
camp,7
survive,7
roar,7
clearly,7
strip,7
conditions,7
presumably,7
contain,7
grave,7
bugs,7
appear,7
useless,7
concealed,7
territory,7
fairly,7
due,7
marked,7
mercy,7
delicate,7
films,7
return,7
lights,7
spy,7
ugly,7
happiness,7
plan,7
ankle,7
dull,7
shelf,7
questions,7
list,7
forced-labour,7
rewritten,7
loose,7
sixty,7
couldn,7
committee,7
mask,7
presence,7
barman,7
texture,7
astonishing,7
stupidity,7
surely,7
goes,7
yesterday,7
arrest,7
continue,7
clasped,7
evenings,7
died,7
issue,7
emotions,7
unbearable,7
refused,7
cheek,7
unless,7
touching,7
reduced,7
try,7
closed,7
marching,7
shade,7
haven,7
agree,7
photographs,7
cheeks,7
thought-criminals,7
confessing,7
pipe,7
drink,7
game,7
fit,7
disease,7
stairs,7
enthusiasm,7
tone,7
demanded,7
concrete,7
possess,7
desirable,7
forty,7
largely,7
heretic,7
supply,7
row,7
quiet,7
laughter,7
uniform,7
accepted,7
jones,7
pretty,7
assume,7
tramp,7
handed,7
mad,7
south,7
involving,6
received,6
bone,6
laughing,6
belonged,6
surrounded,6
grow,6
evil,6
begun,6
production,6
constructed,6
counter,6
slept,6
father,6
account,6
terrifying,6
becoming,6
facing,6
deliberate,6
shoes,6
gradually,6
asking,6
ship,6
kicking,6
toes,6
pattern,6
sang,6
stars,6
letters,6
significance,6
green,6
falsification,6
pleasure,6
universe,6
glanced,6
exercise,6
wandering,6
afraid,6
adding,6
spirit,6
summer,6
deal,6
dingy,6
statement,6
rat,6
unorthodox,6
suffering,6
songs,6
definite,6
prevailing,6
marched,6
aims,6
statue,6
foreign,6
average,6
leg,6
acts,6
sane,6
according,6
relief,6
direct,6
taste,6
inequality,6
handle,6
bare,6
comparison,6
thrust,6
laying,6
poverty,6
sunlight,6
sugar,6
angle,6
slip,6
phrase,6
hoped,6
result,6
borne,6
mysterious,6
blank,6
fright,6
touched,6
throw,6
stirring,6
playing,6
invention,6
trick,6
ragged,6
stronger,6
yell,6
definitely,6
golden,6
crushed,6
sharp,6
bowed,6
pan,6
emerged,6
certainly,6
translation,6
issued,6
instinctively,6
desk,6
rival,6
cover,6
meeting,6
rumours,6
train,6
clearing,6
proper,6
nineteenth,6
areas,6
recognition,6
steps,6
periods,6
expect,6
sentence,6
track,6
revolt,6
actions,6
perceived,6
daylight,6
dragged,6
upright,6
whispered,6
twenty-three,6
owe,6
ashes,6
fewer,6
grammes,6
parted,6
secure,6
habits,6
sixties,6
reference,6
overwhelming,6
grasp,6
twist,6
eleventh,6
servants,6
audience,6
switch,6
function,6
heresies,6
hopeless,6
battered,6
meals,6
silence,6
output,6
c,6
containing,6
incapable,6
theory,6
fight,6
obliged,6
type,6
apparent,6
announcement,6
adjectives,6
pair,6
market,6
holes,6
higher,6
changing,6
farthings,6
guilty,6
objects,6
loyalty,6
alley,6
rewrite,6
ends,6
sensation,6
proletarian,6
recall,6
reasons,6
trouble,6
verb,6
economic,6
steadily,6
intolerable,6
appeal,6
finger,6
sour,6
taught,6
trucks,6
features,6
discovered,6
development,6
style,6
withers,6
deadly,6
crimestop,6
fully,6
noun,6
mansions,6
telling,6
cheekbones,6
instantly,6
familiar,6
dirt,6
mentioned,6
treachery,6
glorious,6
meanwhile,6
interesting,6
achieved,6
lottery,6
hips,6
demonstrations,6
standard,6
tune,6
faintly,6
china,6
continuously,6
discover,6
placed,6
birth,6
ministries,6
especially,6
base,6
dreadful,6
north,6
shock,6
animals,6
overthrown,6
anyway,6
products,6
trusted,6
subjects,6
truly,6
innumerable,6
alliance,6
directly,6
sash,6
controlled,6
eating,6
bright,6
rapid,6
precisely,6
address,6
countless,6
metre,6
pools,5
recognize,5
map,5
watch,5
approached,5
opposition,5
servant,5
extraordinarily,5
circumstances,5
hence,5
flooded,5
tore,5
crime,5
wondering,5
complex,5
classes,5
extinct,5
dealing,5
motive,5
fancy,5
systematically,5
plain,5
entrails,5
greatest,5
battles,5
wouldn,5
drinking,5
ninth,5
dusty,5
litre,5
fat,5
faced,5
bore,5
wandered,5
replaced,5
hurrying,5
inhabitants,5
stepping,5
hung,5
directing,5
motives,5
unrolled,5
completed,5
normally,5
newspaper,5
bluebells,5
microphone,5
interminable,5
reduction,5
dreamed,5
technique,5
economy,5
totally,5
allow,5
doors,5
tin,5
caption,5
seeming,5
report,5
cling,5
criminals,5
cutting,5
sake,5
interval,5
smiled,5
lump,5
nagging,5
leapt,5
ignored,5
uniforms,5
granted,5
mirror,5
chief,5
melted,5
chessboard,5
unnecessary,5
suit,5
terrified,5
handwriting,5
lists,5
harsh,5
assumed,5
sick,5
ring,5
occasion,5
factories,5
accept,5
stretch,5
violently,5
permitted,5
seat,5
devoted,5
old-fashioned,5
unconsciousness,5
soap,5
forbidden,5
preliminary,5
backwards,5
guardian,5
battle,5
count,5
addition,5
blown,5
mine,5
automatic,5
reporting,5
roughly,5
indian,5
starving,5
unquestionably,5
distinction,5
squeeze,5
divided,5
civilization,5
drawer,5
coughing,5
lit,5
pressure,5
created,5
ticking,5
bending,5
civil,5
blackness,5
lackeys,5
conceivable,5
waste,5
cheap,5
ice,5
staying,5
minority,5
physically,5
persons,5
article,5
trembling,5
ranks,5
articles,5
rhymes,5
possessed,5
present-day,5
hike,5
flesh,5
ink,5
sandy-haired,5
wherever,5
bald,5
immortal,5
curiosity,5
wait,5
hanged,5
excuse,5
denounced,5
eh,5
humming,5
suffer,5
check,5
permanently,5
thumb,5
distant,5
bushes,5
neat,5
grimy,5
twenty-four,5
foreseen,5
chairs,5
catch,5
consumption,5
follows,5
snap,5
waking,5
sprang,5
oneself,5
fed,5
beliefs,5
intermittently,5
greater,5
fitted,5
speaker,5
depends,5
smashed,5
doesn,5
spot,5
bullets,5
perpetuating,5
rage,5
tendency,5
burned,5
poor,5
oceanic,5
extended,5
wrenched,5
composed,5
bang,5
built,5
hysteria,5
ending,5
needing,5
connexion,5
resettled,5
overheard,5
rolling,5
conquer,5
unimportant,5
temptation,5
discipline,5
removed,5
box,5
consider,5
shutting,5
backward,5
comfort,5
leader,5
meal,5
april,5
frail,5
included,5
bleeding,5
spread,5
tillotson,5
beforehand,5
slave,5
furniture,5
sorry,5
bits,5
dark-haired,5
cap,5
2050,5
legs,5
alteration,5
pouring,5
fill,5
fortress,5
sheer,5
corners,5
capitalist,5
junk-shop,5
nerve,5
arrived,5
privilege,5
tremendous,5
claim,5
bird,5
degrees,5
locked,5
naturally,5
beetle-like,5
sold,5
arrange,5
grasped,5
glimpse,5
tightly,5
forced,5
kick,5
breathing,5
search,5
rebel,5
remaining,5
lift,5
lungs,5
land,5
swift,5
contradictory,5
forearms,5
processions,5
waiter,5
bulletin,5
matters,5
gateleg,5
astonished,5
duty,5
amateur,5
concept,5
mostly,5
wrist,5
board,5
disputed,5
forgery,5
saving,5
limited,5
tip,5
scores,5
corridors,5
historical,5
returned,5
quarters,5
capitalism,5
espionage,5
trials,5
hereditary,5
existing,5
forehead,5
three-year,5
daily,5
jacket,5
decisive,5
referred,5
business,5
examined,5
eyelids,5
mild,5
roaring,5
spasm,5
efficiency,5
engraving,5
drawn,5
youthful,5
judged,5
interrogation,5
organized,5
image,5
hats,5
saucepan,5
slaves,5
fair,5
oil,5
lonely,5
islands,5
signal,5
recorded,5
skull-faced,5
activities,5
asked,5
